Sample,(P1) Function Signature Insertion,(P2) Import Insertion,(P3) Function Insertion,(P4) Function Body Cloning,(P5) Global Insertion,(P6) Element Insertion,(P7) E-port Insertion,(P8) Data Insertion,(P9) Data Encryption,(P10) Custom Section Insertion,(P11) NOP Insertion,(P12) Stack Operation Insertion - Memory,(P12) Stack Operation Insertion - Numeric,(P12) Stack Operation Insertion - Bitwise,(P12) Stack Operation Insertion - Conversion,(P12) Stack Operation Insertion - Interpretation,(P12) Stack Operation Insertion - Utility,(P13) Opaque Predicate Insertion,(P14) Pro-y Function Insertion,(P15) Direct to Indirect Call Transformation,(P16) Sub->Add Operation Transformation,(P16) Add->Sub Operation Transformation,(P17) Shift Operation Transformation,(P18) Eqz Operation Transformation,(P19) Offset E-pansion,(P20) Transforming -OR to MBA,(P20) Transforming OR to MBA,(P21) Constant Value Splitting,(P22) Constant Value Transformation
e09c32c5,-,-,-,-,-,-,-,-,-,-,10,-,50,-,30,10,30,-,-,30,30,10,50,40,60,-,30,-,-
e1aa8061,-,-,-,-,-,-,-,-,-,-,100,-,70,-,20,20,20,-,-,20,60,70,70,40,-,-,-,-,-
ed7019bc,-,-,-,-,-,-,-,-,-,-,40,-,30,-,60,10,60,-,-,70,20,20,20,60,30,-,-,-,-
efc7f440,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,60,-,-,-,-,-,70,-,-,-,-,-,-,-
f702aa92,-,-,-,-,-,-,-,-,-,-,10,-,10,-,-,20,10,-,-,-,30,10,30,20,10,-,-,40,-
fcc7c92b,-,-,-,-,-,-,-,-,-,-,10,-,100,-,30,-,70,-,-,-,20,30,50,70,30,-,-,-,-
fd472bd0,-,-,-,-,-,-,-,-,-,-,10,-,30,-,30,-,10,-,-,90,50,70,50,40,100,70,40,-,10
Average,-,-,-,-,-,-,-,-,-,-,33.142857142857146,-,31.333333333333332,-,32.22222222222222,27.8125,41.5,30,36,45.15151515151515,34.54545454545455,40,39.45945945945946,34.84848484848485,38.125,51,32.5,31.11111111111111,31.818181818181817
standard deviation,-,-,-,-,-,-,-,-,-,-,26.654,-,26.357,-,20.631,24.722,25.374,14.142,19.494,28.518,21.808,30.249,22.601,16.978,25.328,22.336,22.657,19.65,27.863
skewness,-,-,-,-,-,-,-,-,-,-,1.213,-,1.419,-,1.182,1.334,0.656,,-0.081,0.517,0.874,0.541,0.91,0.15,0.885,0.293,1.769,0.947,1.331
Median,-,-,-,-,-,-,-,-,-,-,15,-,50,-,70,20,30,30,30,30,50,30,30,60,30,70,30,30,20
IQR,-,-,-,-,-,-,-,-,-,-,5,-,35,-,0,30,40,20,20,50,0,60,30,0,40,10,20,20,25
